pattern	template
How to adjust the cost of an asset	Navigation: Main Menu > Asset Management > Asset Transactions > Financial Transaction > Cost Adjust/Transfer Asset |1. Select Transaction and Accounting Date and Action i.e. Adjustment. |2. On the next page, enter the cost/Quantity by which you want to increase/decrease the asset. |3. Click on Apply and Save.

Can I transfer an asset Intra Inter	Yes

How to transfer an asset Intra Inter	Which type of asset transfer you want to do..?|1. How to transfer an Inter (Between Business Units):|2. How to transfer an Intra (Within same Business Unit):

How to transfer an Inter Between Business Units	Navigation: Main Menu > Asset Management > Asset Transactions > Financial Transaction > Cost Adjust/Transfer Asset |1. Select Transaction and Accounting Date and Action i.e. Interunit Transfer. |2. On the next page, enter the New Unit (BU) and click on Save.

How to transfer an Intra Within same Business Unit	Navigation: Main Menu > Asset Management > Asset Transactions > Financial Transaction > Cost Adjust/Transfer Asset |1. You can transfer an asset within Business Unit by changing location, chartfields like Dept ID, Oper Unit etc.

Where I can see the Depreciation information of an asset	Navigation: Main Menu > Asset Management > Depreciation > Review Depreciation Info > Asset Depreciation

Where I can see the Accounting Entries of an asset	Navigation: Main Menu > Asset Management > Accounting Entries > Review Financial Entries

I am not able to post the voucher though it is Approved	Please check the Document Tolerance status and Budget Check Status. Both should be Valid to make the voucher eligible for posting.

What is Pay Terms	Payment terms are used to calculate schedule date for payment.|Invoice Date + Payment Terms = Schedule Date

What is Schedule Date	Invoice Date + Payment Terms = Schedule Date. It is used in pay cycle.

What is Adjustment voucher	Adjustment voucher is used for credit or debit memos, or for relating one voucher to another.

What is Prepaid voucher	Prepaid vouchers are used when we need to pay before we receive any goods or services. Peoplesoft allows us to make  payment to vendor without an invoice.

What is Regular voucher	Regular voucher is default voucher type. It is also used to enter purchase order vouchers and vouchers that require matching to purchase orders and receiving documents.

What is Single Payment voucher	Single Payment voucher is used for making the payment to one-time vendors so that we don't need to define the vendor in the system.

What is Reversal voucher	Reversal voucher is used to create the reversal accounting entries and back out encumbrances

How to apply Regular voucher to Prepaid voucher	1.Navigate to Main Menu > Accounts Payable > Payments > Manual Payment and Prepayment > Apply Vouchers to Prepayment|2. Enter BU and Prepaid voucher ID|3. Click Apply New Vouchers to Payment and search for Regular voucher.|4. Select the checkbox and Click Copy/Back|5. Click Apply and Save it

Can I create a contract with same date	Yes. You can create a contract with same date for different vendors. But Peplesoft does not allow us to create a contract for same vendor with same date.

What is voucher closing	We close the voucher when we want the remaining liability to be written off the vendor balance and the voucher to be considered complete. For example, when we have items in dispute that we and the supplier have agreed that we will not make a payment on these items.

How to close a voucher	Navigate to Main Menu > Accounts Payable > Vouchers > Add/Update > Close Voucher. Enter Accounting Date and Save it. |Voucher can be closed only when voucher is :|1. Posted|2. No Selected for Payment|3. Not Fully Paid

Why my voucher is not getting picked in the pay cycle	Please select from following : | 1. Why Credit Voucher not getting picked in pay cycle? | 2. Why Regular Voucher not getting picked in pay cycle?

Why credit voucher not getting picked in pay cycle	In Payment Selection Criteria > Preferences tab, make sure Process Credit Vouchers option is selected. This will enable the credit voucher selection during Payment Selection process.

Why Regular voucher not getting picked in pay cycle	1. Please check if the vendor used during voucher creation is to be paid in Pay Group. If yes, select the checkbox Use Vendor Pay Group on Preferences tab of Payment Selection Criteria. If no, uncheck the checkbox. | 2. Also, please check Schedule Date of voucher. It should fall between Payment From date and To Date. | 3. Payment Hold checkbox on Payments tab should not be selected.  | 4. Make sure Business Unit is selected on Source/BU tab. | 5. Make sure Bank and payment method of voucher are selected for processing on Bank/Method

How to cancel the payment	Navigation: Main Menu > Accounts Payable > Payments > Cancel/Void Payments > Payment Cancellation|1. Enter Bank details, Payment Reference etc. |2. On the cancellation page, select one of the options and Save it.|3. Payment Status will change only after Payment Posting process is run after payment cancellation.

Which option in Payment Status I should select while cancelling the payment	1. Void: Select to void the payment. We void a payment when it has not been released.|2. Stop: Select to stop the payment. We stop a payment when it has been released. |3. Undo Cancel: We can undo any cancellation until we post the canceled payment. After posting, we cannot undo the cancellation. |1. Re-Open Voucher(s)/Re-Issue: Use to reselect the scheduled payments and reissue them the next time that you run a pay cycle |2. Re-Open Voucher(s)/Put on Hold: Use to reopen the scheduled payments, but places the reopened scheduled payments on hold for  your review. Select this option if you need to perform additional investigation or revise voucher information before proceeding with  payment. |3. Do Not Reissue/Close Liability: Use to cancel the payment and close any liabilities associated with it. The amount of the liability to close is calculated as the amount of unpaid liability remaining.

Which option in Cancel Action I should select while cancelling the payment	1. Re-Open Voucher(s)/Re-Issue: Use to reselect the scheduled payments and reissue them the next time that you run a pay cycle|2. Re-Open Voucher(s)/Put on Hold: Use to reopen the scheduled payments, but places the reopened scheduled payments on hold for  your review. Select this option if you need to perform additional investigation or revise voucher information before proceeding with  payment. |3. Do Not Reissue/Close Liability: Use to cancel the payment and close any liabilities associated with it. The amount of the liability to close is calculated as the amount of unpaid liability remaining.

How I can create a PO from requisition	Navigation: Main Menu > eProcurement > Buyer Center > Expedite Requisition|1. Enter Business Unit, Requisition iD and search.|2. Enter Buyer and submit the request.

Which role is required for voucher unmatching	1. Role: LI_AP_WRKBNCH_GLB|2. You also need to have following Process Groups: MTCHOVRD and MTCHEXPTN

Which role is required for Document Tolerance Override access	Raise an Online Security Request form for updating User Preferences.

How to create an Expense Report	Navigate to Main Menu > Employee Self Service > Travel and Expense Center. Then click Create and enter the expense.

How to correct Expense Report errors	Which type of error..?|1. How to correct credit card related Expense Report error?|2. How to correct acad discipline related Expense Report error?|3. How to correct preferred non preferred merchant related Expense Report error?

How to correct credit card related Expense Report error	Check if your credit card information is empty in your profile.

If credit card information is not empty	Then check if the expense report date is prior to the credit card assigned date.

How to correct acad discipline related Expense Report error	Click on Accounting Defaults and enter Acad Discipline field.

How to correct preferred non preferred merchant related Expense Report error	Enter either Preffered or Non-preffered merchant in Merchant tab of Expense Report.

Can I post the journal after unposting it	No. Once a journal is unposted it cannot be posted again.

How to run the Trial Balance report	Navigation: Main Menu > Reporting Tools > PS/nVision > Define Report Request|1. Select the Report ID TR_BAL.

PS Query output error	Navigation: Main Menu > Reporting Tools > Query > Schedule Query|1. Enter Run Control ID|2. Enter Query Name and click Run.

Error message Accounting Period not open	Accounting date selected for Voucher/Asset/Journal is not within open period. Please select the Accounting Date which is within open period.

Where I can see the status of my process	Navigation: Main Menu > PeopleTools > Process Scheduler > Process Moniter

My voucher is in Recycle status Where I can see the errors	Navigation: Main Menu > Accounts Payable > Add/Update > Regular Entry|1. Enter Business Unit and Voucher ID|2. Click Error Summary tab to check the errors.

I need the role to create the receipt	If you know the Role name then, please create an Access Request using below link - https://laureatena.sharepoint.com/sites/corporatefinancepolicies/PSAccess/SitePages/Home.aspx . Else please create a new support a ticket.

I need a requestor role	If you know the Role name then, please create an Access Request using below link-https://laureatena.sharepoint.com/sites/corporatefinancepolicies/PSAccess/SitePages/Home.aspx .Else please create a new support a ticket.

I need a buyer role	If you know the Role name then, please create an Access Request using below link-https://laureatena.sharepoint.com/sites/corporatefinancepolicies/PSAccess/SitePages/Home.aspx .Else please create a new support a ticket.

I need a role to create the journals	If you know the Role name then, please create an Access Request using below link-https://laureatena.sharepoint.com/sites/corporatefinancepolicies/PSAccess/SitePages/Home.aspx .Else please create a new support a ticket.

I need a role to create an asset in PeopleSoft	If you know the Role name then, please create an Access Request using below link-https://laureatena.sharepoint.com/sites/corporatefinancepolicies/PSAccess/SitePages/Home.aspx .Else please create a new support a ticket.

How to process Credit vouchers	In Payment Selection Criteria > Preferences tab, make sure Process Credit Vouchers option is selected. This will enable the credit voucher selection during Payment Selection process.

What is Matching	1. Matching process compares vouchers with purchase orders and receiving documents.|2. At Laureate, we have Three-way matching which compares vouchers, purchase orders, and receipts if the Receiving Required option is Required and the Inspection Required option is not selected for the receiver.

What is Document Tolerance	Document tolerances are allowable percentages or amounts by which related procurement documents can differ.

What are different types are Match Status	Different Match Status are:|1. Exception|2. Manually Overridden|3. Manually Set to Credit Note|4. Matched|5. Match - Dispute|6. No Match

I want to know the Batch Schedule	Please create a ticket by sending a mail to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net

My requisition is not available after cancellation of PO	Requisition may not be appearing because at the time of PO cancellation, you have not selected the option Re-source Requisition. If no, then please raise a ticket to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net

My requisition is Approved But it is not available for Expedite	1. Please check the Budget status of requisition. It should be Valid.| 2. Also check if PR is already linked to any PO which is not cancelled yet or in process. In such cases requistion will not be available | 3. Also check Inventory Source Flag on requsition line level. So should be unchecked to make requisition available for expedite. |Else, kindly contact amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net

How to Budget Check requisition	On the Review and Submit tab of requisition, click button Check Budget.

What is Document Sequencing	1. Sometimes it is required that all financial transactions (documents) be classified into different transaction types, |2. And within each transaction type, all documents entered be numbered sequentially. |3. The Document Sequencing feature helps us maintain established business practices by meeting both of these requirements.

What is Profile ID	1. An asset profile is a template that contains standard depreciation criteria for an asset type and its corresponding asset books. |2. The information established in an asset profile can be used as default values when you're adding assets to the system.

Where I can see the details of an asset	Navigation: Main Menu > Asset Management > Asset Transactions > Owned Asset > Basic Add

How to add an asset directly in AM	Navigation: Main Menu > Asset Management > Asset Transactions > Owned Asset > Express Add

What do you mean by consolidating an asset	1. Before running the Transaction Loader, we can consolidate many load lines into a single asset|2. Example: You may pay for Desktop, CPU, mouse, keyboard seperately. But if you don't consolidate, 4 assets will get created but actually it is an sngle asset which is Computer.

What is unitization in AM	1. Before running the Transaction Loader, we can split a load line into many assets (unitize) manually |2. Example: You may pay for 10 computers with one voucher line. If you run the Interface without unitizing, this voucher line becomes one pending load line for one asset, and the quantity is equal to 10 which should be 10 separate lines.

Navigation for Receipt creation	Navigation: Main Menu > Purchasing > Receipts > Add/Update Receipts

Navigation to expedite the requisition	Navigation: Main Menu > eProcurement > Buyer Center > Expedite Requisition|1. Enter Business Unit, Requisition iD and search.|2. Enter Buyer and submit the request.

How to create a Prepaid Voucher	Navigation: |Main Menu > Accounts Payable > Vouchers > Add/Update > Regular Entry|1. Select Voucher Style as Prepaid voucher|2. Enter all the details like regular voucher and Save it.

Requisition Creation	Navigation:|Main Menu > eProcurement > Create Requisition

Asset Creation	Asset is created through interface from AP to AM. Please follow below steps:|1. Main Menu > Accounts Payable > Batch Process > Extracts and Loads > Load Asset Request|2. Main Menu > Asset Management > Send/Receive Information > Retrieve Info from AP/PO|3. Unitize/Consolidate the asset if required |4. Main Menu > Asset Management > Send/Receive Information > Load Transaction > Load Transacion into AM

Journal creation	Navigation to create an online journal:|Main Menu > General Ledger > Journals > Journal Entry > Create/Update Journal Entries

Purchase Order PO Close	Navigation: Main Menu > Purchasing > Purchase Orders > Buyer's Workbench| 1. Select the checkbox for required PO and click Close.| 2. If prompted to Budget Check, please click yes, Budget Check.

Purchase Order PO Dispatch	PO can be dispatched by 3 ways: |1. Through PO page: |Main Menu > Purchasing > Purchase Orders > Add/Update Pos|2. Through Dispatch Pos page:|Main Menu > Purchasing > Purchase Orders > Dispatch Pos|3. Through Buyer's Workbench:|Main Menu > Purchasing > Purchase Orders > Buyer's Workbench

Purchase Order PO Budget Check	Budget checking for PO is a batch process which runs twice a day.

PO receipt is not coming in voucher	1. Check the Match Status of Receipt. If it is fully matched, receipt will not come on voucher. It should be Partially matched |2. In Process Flag should be No. This can only be seen thoriugh database. So please raise a ticket by sending issue to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net

Voucher match exception	If vouchers do not pass the Matching process, the system flags them as exceptions.

Override voucher match exception	Navigation:|Main Menu > Accounts Payable > Vouchers > Add/Update > Regular Entry|1. Click Exceptions link|2. Select Voucher Match Action and Voucher Line Match Action Override and click Apply. |3. Save it|4. Run he matching process again

Reroute vouchers for approval	Please raise a ticket by sending mail to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net

Reroute requisitions for approval	Please raise a ticket by sending mail to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net

Reroute vendors for approval	Please raise a ticket by sending mail to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net

Reroute expense reports for approval	Please raise a ticket by sending mail to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net

Aproval Delegation	Navigation:|Main Menu > My System Profile|1. Enter Alternate User ID|2. Enter From Date and To Date|3. Click Save|For any further clarification, Please raise a ticket by sending mail to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net

Access to delete a voucher or Voucher delete role	Please create an Online Security Request Form for the below role using following link:  | https://laureatena.sharepoint.com/sites/corporatefinancepolicies/PSAccess/SitePages/Home.aspx | LI_AP_VCHRDLT_GLB (GLB AP Voucher Delete Role)

Access to approve the requisition or Requisition approver role	Please create an Online Security Request Form for the below role using following link: | https://laureatena.sharepoint.com/sites/corporatefinancepolicies/PSAccess/SitePages/Home.aspx | LI_PV_APPROVER_GLB    ePRO Req Aprover Role

Access to approve the voucher or Voucher approver role	Please create an Online Security Request Form for the below role using following link: | https://laureatena.sharepoint.com/sites/corporatefinancepolicies/PSAccess/SitePages/Home.aspx | LI_AP_APPROVER_GLB    voucher approval role

Access to to unpost the voucher or Voucher Unpost role	Please create an Online Security Request Form for the below role using following link: | https://laureatena.sharepoint.com/sites/corporatefinancepolicies/PSAccess/SitePages/Home.aspx | LI_AP_VCHRUNPST_GLB (GLB AP Voucher Unpost Role)

Access to post the voucher or Voucher Post role	Please create an Online Security Request Form for the below role using following link: | https://laureatena.sharepoint.com/sites/corporatefinancepolicies/PSAccess/SitePages/Home.aspx | LI_AP_VCHRPST_GLB (GLB AP Voucher Post Role)

Access to create a voucher or Voucher Creation role	Please create an Online Security Request Form for the below role using following link: | https://laureatena.sharepoint.com/sites/corporatefinancepolicies/PSAccess/SitePages/Home.aspx | LI_AP_VCHRENTRY_GLB (GLB AP Voucher Entry Role)

Access to close the voucher or Voucher Close role	Please create an Online Security Request Form for the below role using following link: | https://laureatena.sharepoint.com/sites/corporatefinancepolicies/PSAccess/SitePages/Home.aspx | LI_AP_VCHRCLS_GLB (GLB AP Voucher Close Role)

Where I can enter my expenses	Login to PeopleSoft and navigate below |Main Menu > Employee Self-Service > Travel and Expense Center > Expense Report > Create

When my expense report will be Paid	Once the expense is Approved and status is staged, it will be eligible for payment.

Navigate to Expense creation	Login to PeopleSoft and navigate below |Main Menu > Employee Self-Service > Travel and Expense Center > Expense Report > Create

Where I can check my expense report status	Navigation: |Main Menu > Employee Self-Service > Travel and Expense Center > Expense Report > View|Enter Report ID and check Status field.

From where I can modify my saved expense report	Navigation:|Main Menu > Employee Self-Service > Travel and Expense Center > Expense Report > Modify

How to delete expense report	Navigation: |Main Menu > Employee Self-Service > Travel and Expense Center > Expense Report > Delete

How to create cash advance	Navigation:|Main Menu > Employee Self-Service > Travel and Expense Center > Cash Advance > Create

Consolidation Issue Extra line did not get generated after consolidation	Please raise a ticket by sending mail to amea.peoplesoftsupport@laureate.net or l3peoplesoft@laureate.net or frontline.team@laureate.net

How to create a voucher	Login to PeopleSoft and navigate below |Main Menu > Accounts Payable > Vouchers > Add/Update > Regular Entry

How to post expense report liabilities	Posting Liabilities is a batch process and it runs every 4 hours.

How to stage expense reports	Staging expense reports is a batch process and it runs every 4 hours.

How to pay expense report	Expense payment is made through expense pay cycle.

Significance of EFT payment method	EFT payment is paperless format. It require that you create an electronic file that contains the necessary bank information which is processed through bank.

Significance of ACH payment method	ACH payment is paperless format. It require that you create an electronic file that contains the necessary bank information which is processed by a clearinghouse.

Significance of System Check CHK payment method	It is printed payment format for regularly scheduled payments. It can be System check or Manual check. If it is System check, it is processed through a pay cycle. If it is Manual check, it is marked Paid and is prepared for payment posting as Manual checks are usually issued for payments that you have already made by physically writing a check.

Significance of Wire WIR payment method	A wire transfer is a transaction that you initiate through your bank. You can create a manual payment and run pay cycle processes to process your wire transfer payments.

How to generate subsystem journal	Journal Generator is a batch process. User can run it Ad-Hoc by following navigation:|Main Menu > General ledger > Journals > Subsystem Journals > Generate Journals|1. Select Business Unit, SetID, appropriate Accounting Definition Name and Date Range|2. Run FS_JGEN process.

How to create a journal	Navigation:|Main Menu > General ledger > Journals > Journal Entry > Create/update Journal entries

How to copy journal	Main Menu > General ledger > Journals > Journal Entry > Copy Journal

Hoe to edit journal	Main Menu > General ledger > Journals > Journal Entry > Create/Update Journal Entries|1. Find an Existing value and open the required journal|2. Click Lines tab, select Edit Journal from the drop down and click Process

How to edit error journal	Navigation to create an online journal:|Main Menu > General Ledger > Journals > Journal Entry > Create/Update Journal Entries

How to approve a journal	IF you have the approver roles, then click Worklist and select the Journal which you want to approve. Click Approve after writing approval comments.

What is general ledger	General Ledger serves as the core of the PeopleSoft Financial Management System. The PeopleSoft subsystem applications, such as Payables and Receivables, create accounting entries that you select to process in the journal generator. Journal Generator creates the appropriate journals from the accounting entries and sends them to General Ledger for posting to the appropriate ledgers. From this posted accounting data, you can obtain both detail and summary accounting information and produce numerous financial reports for your organization.

How to post a journal	Journal posting is a batch process which runs everyday.

How to unpost a journal	Navigation:|Main Menu > General Ledger > Journals > Process Journals > Mark Journals for Unposting|Search for the required journal, check the check Process and click Unpost Selected Journals to run the process.

Where to check journal accounting entries	Navigation:|Main Menu > General ledger > Journals > Journal Entry > Create/update Journal entries

How to create online journal	Navigation: | Main Menu > General ledger > Journals > Journal Entry > Create/update Journal entries

From where I can create subsystem journal	Journal Generator is a batch process. User can run it Ad-Hoc by following navigation:|Main Menu > General ledger > Journals > Subsystem Journals > Generate Journals|1. Select Business Unit, SetID, appropriate Accounting Definition Name and Date Range|2. Run FS_JGEN process.

How to post vouchers	Voucher posting is a batch process which runs every 2 hours.

How to pay vouchers	Voucher payment is done through a pay cycle. Navigation:|Main Menu > Accounts Payable > Payments > Pay Cycle Processing > Payment Selection Criteria

How to unpost vouchers	Navigation:|Main Menu > Accounts Payable > Vouchers > Add/Update > Unpost Voucher

How to run budget check for vouchers	Navigation:|Main Menu > Accounts Payable > Batch Process > Vouchers > Budget Check

How to run matching for vouchers	Navigation:|Main Menu > Accounts Payable > Batch Process > Vouchers > Matching

Deleting a voucher	Navigation:|Main Menu > Accounts Payable > Vouchers > Add/Update > Delete Voucher

How to create user template in Travel and expense	Main Menu > Employee Self-Service > Travel and Expense > User Preferences > Create/Udate User Template

How to change default creation method for expense report	Main Menu > Employee Self-Service > Travel and Expense > Review/Edit Profile Tab: User defaults: Change default creation method | 1. Open a Blank Report | 2. Copy from a Travel Auth. | 3. Copy an exisiting report | 4. Copy from a Template

How to run ultipro load	Main Menu > Travel and Expense > Manage Employee Information > Load Employee Data

What is ultipro employee termination process	All the employees which are marked as terminated in Ultipro will be terminated in PeopleSoft also when the process LIGBLPSUET will run. Navigation is Main Menu > Laureate Global > Processes > Ultipro Employee Terminations

How to load employee data	The processes LIPSTEJ1 and LIPSTEJ2 load all the data which comes from Ultipro. This contains data for the employees which are newly crteated, rehired etc. navigation: Main Menu > Travel and Expense > Manage Employee Information > Load Employee Data

Why my bank account is not updated correctly in PeopleSoft	Bank account information is updated when it gets loaded from Ultipro. Ultipro process runs everyday at 3.00 Am EST. So please wait till next batch runs else raise a ticket by sending mail to https://laureatena.sharepoint.com/sites/corporatefinancepolicies/PSAccess/SitePages/Home.aspx

How to approve vouchers	IF you have the approver roles, then click Worklist and select the voucher which you want to approve. Click Approve after writing approval comments.

How to create voucher accounting entries	Voucher accounting entries will be generated when the voucher is posted. Voucher posting is a batch process and restricted users can run it through Main Menu > Accounts Payable > Batch Process > Vouchers > Voucher Posting.

How to void voucher payment	Navigation: Main Menu > Accounts Payable > Payments > Cancel/Void Payments > Payment Cancellation|1. Enter Bank details, Payment Reference etc. |2. On the cancellation page, select one of the options and Save it.|3. Payment Status will change only after Payment Posting process is run after payment cancellation.

Where to modify saved voucher	Login to PeopleSoft and navigate below |Main Menu > Accounts Payable > Vouchers > Add/Update > Regular Entry|1. Click Find an existing Value|2. Enter Business Unit and your Voucher's ID and search

How to delete voucher	Navigation:|Main Menu > Accounts Payable > Vouchers > Add/Update > Delete Voucher

How to dispatch voucher payment	Main menu > Financial Gateway > Process Payments > Payment Dispatch

How to do Payment Posting	Payment postimng is a batch process. The navigation through which we can manually run the process is: |Main menu > Account Payable > Batch Processes > Payment > Payment posting

Where I can check accounting entries for voucher	Main menu > Account Payable > Review Account Payable Info > Vouchers > Accounting Entries

Where I can check voucher VAT details	Navigation: |Main Menu > Account Payable > Review Account Payable Info > Vouchers > VAT Details

How to run pay cycle	Navigation:|Main Menu > Accounts Payable > Payments > Pay Cycle Processing > Pay Cycle Manager

How many types of vouchers I can create	Regular Voucher|Adjustment Voucher|Pre-paid Voucher|Single Payment Voucher|Template Voucher|Journal Voucher|Register Voucher|Reversal Voucher

How to reverse a voucher	Main menu > Account Payable > Voucher > Add/Update > Regular Voucher |Select Voucher Type as Reversal Voucher and click on Add

Why I am not able to cancel my Purchase Order PO	Please check if receipt is created for this PO. If Receipt is created, first cancel the recipt and then PO.

Role required to view Document Tolerance	Please raise Online Security Request Form for role LI_FN_DOCTOLEXCPT_GLB.

Attachment error while creating a contract	Please check the name of attachment file. It should be of standard size (around 20-25 letters)

Attachment error while creating a expense report	Please check the name of attachment file. It should be of standard size (around 20-25 letters)

I am not able to dispatch my Purchase Order PO though it is approved	Please check Budget Status and Document Tolerance status. Both should be valid to make PO eligible for dispatch.

Not able to create a receipt from Purchase Order PO	Purchase Order should be dispatched to be eligible for receipt creation. If PO is not in Dispatched status, please get in touch with the Buyer. Also PO should not be closed. If the PO is closed, re-open the PO by navigation Purchasing > Purchase Orders > Reconcile Pos > Reopen POs. So please check the staus of PO.

Can I retire asset by amount	Yes. You can retire an asset by amount.

Error You are not authorised to run this multiprocess job	You don't have the role which is required to run the process. Please raise a ticket for the required role and then raise an Online Security Request form for the role assignment.

How to unmatch voucher	Navigation:|Main Menu > Account Payable > Review Account Payable Info > Vouchers > Match Workbench|1. Enter Business Unit, select Match Status as Matched and search for the required voucher|2. Select the checkbox Undo Match and select Unmatch from the dropdown. and proceed

How to import contract	Navigation:|Main Menu > Legal Contracts > Create Contracts > Contract Management|1. select a source transaction (Ad Hoc), Document Type etc..|2. Click Add a Document|3. Select chartfields, administrator etc.|4. Click Import Document. Answer all Wizard Questions and proceed.

How to edit the contract	Navigation:|Main Menu > Legal Contracts > Create Contracts > Contract Management|1. Search and open the existing required contract|2. Click the Edit Document button|3. To replace the contract version uploaded incorrectly, the contract has to be checkout from the system.|4. Open the contract and edit it.

How to check in the contract	Navigation:|Main Menu > Legal Contracts > Create Contracts > Contract Management|1. Search and open the existing required contract|2. To replace the new version Contract uploaded incorrectly, the contract has to be check in from the system. Click the Check In button.|3. Enter Comments and click OK|4. Browse the required document and upload it|5. You can check the status on the Document Version History link.

How to attach a supporting document to a contract	Navigation:|Main Menu > Legal Contracts > Create Contracts > Contract Management|1. Search and open the existing required contract|2. Click the Add Attachments/Related Documents link.|3. Click the Upload a Document Attachment File button and upload the attachment

How to Review Contract Version History	Navigation:|Main Menu > Legal Contracts > Create Contracts > Contract Management|1. Search and open the existing required contract|2. Click the Document Version History link.|3. Review the versions

How to delete a contract	A contract can be deleted if it is in the 'Draft' state.|Navigation:|Main Menu > Legal Contracts > Create Contracts > Contract Management|1. Search and open the existing required contract|2. Click the Delete option.|3. Click the Delete Selected Documents button

How to create a Amendment for a contract	Navigation:|Main Menu > Legal Contracts > Create Contracts > Contract Management|1. Search and open the existing required contract|2. Click the Create Amendment button.|3. Click the Amendment Option list and select Amend Contract Only list item.|4. Enter comments and click OK|5. The Contract will be in Draft status, as well as the version control updates the following number and identifies the document as Amendment

How to Deactivate a contract	Navigation:|Main Menu > Legal Contracts > Create Contracts > Contract Management|1. Search and open the existing required contract|2. Click the Deactivate Document button. Deactivate the contract is to stop the contract management process.|3. Enter comments and click OK.

How to Reactivate a contract	Navigation:|Main Menu > Legal Contracts > Create Contracts > Contract Management|1. Search and open the existing required contract|2. Click the Reactivate Document button. |3. Enter Comments and click OK

How to modify the wizard for a contract	You can modify the wizard so that you have the option to update data such as: supplier, quantity, budget, complete revision, renewal or accounting. Accounts (business unit, department or operating unit).|Navigation:|Main Menu > Legal Contracts > Create Contracts > Contract Management|1. Search and open the existing required contract|2. Click the Wizard Details link|3. Change the values which you want to modify|4. Once done, click Finish

What is Effective Date in Contract	Effective Date is the initial date of validity of the contract and becomes effective.

What is Signature Date in Contract	Signature Date is the final date committed to conclude the approval flow.

How to enter Effective Date in Contract	Navigation:|Main Menu > Legal Contracts > Create Contracts > Contract Management|1. Search and open the existing required contract|2. Click the Document Details link.|3. Click in the Effective Date field. |4. Select the appropriate date and click OK

